data_iesire,simbol,directie,cantitate,pret_intrare,pret_iesire,profit_usd,profit_pct,motiv_exit,rezultat
2026-05-18T18:39:41.444098,META,SHORT,4,608.3299,608.6078,-1.11,-0.05,EMA CROSSOVER BULLISH (0.05%),LOSS
2026-05-18T18:44:54.941015,META,SHORT,4,608.61,607.91,2.8,0.12,EMA CROSSOVER BULLISH (-0.12%),WIN
2026-05-18T19:16:04.873644,META,SHORT,4,608.465,609.52,-4.22,-0.17,EMA CROSSOVER BULLISH (0.21%),LOSS
2026-05-18T19:21:16.786090,META,SHORT,4,609.77,610.36,-2.36,-0.1,EMA CROSSOVER BULLISH (0.10%),LOSS
2026-05-18T19:30:41.419149,META,SHORT,4,609.41,607.7099,6.8,0.28,EMA CROSSOVER BULLISH (-0.32%),WIN
2026-05-18T19:35:57.740144,MSFT,LONG,5,418.7,420.115,7.07,0.34,MACD BEARISH (0.32%),WIN
2026-05-18T19:35:59.374427,META,SHORT,4,607.61,609.41,-7.2,-0.3,EMA CROSSOVER BULLISH (0.30%),LOSS
2026-05-18T19:41:12.099050,META,SHORT,4,609.15,609.0,0.6,0.02,EMA CROSSOVER BULLISH (-0.01%),WIN
2026-05-18T19:41:13.972548,MSFT,LONG,5,420.03,420.0701,0.2,0.01,MACD BEARISH (0.01%),WIN
2026-05-18T19:46:26.790437,META,SHORT,4,608.965,607.87,4.38,0.18,EMA CROSSOVER BULLISH (-0.18%),WIN
2026-05-18T19:51:40.844709,MSFT,LONG,5,420.1,420.135,0.18,0.01,MACD BEARISH (0.01%),WIN
2026-05-18T19:51:42.493792,META,SHORT,4,607.795,609.37,-6.3,-0.26,EMA CROSSOVER BULLISH (0.26%),LOSS
2026-05-18T19:56:53.882874,GOOGL,LONG,6,401.41,401.68,1.62,0.07,MACD BEARISH (0.07%),WIN
2026-05-18T19:56:55.522505,META,SHORT,4,609.2601,610.66,-5.6,-0.23,EMA CROSSOVER BULLISH (0.19%),LOSS
2026-05-18T20:14:57.299432,META,SHORT,4,610.78,610.935,-0.62,-0.03,EMA CROSSOVER BULLISH (0.03%),LOSS
2026-05-18T20:20:08.679467,META,SHORT,4,610.93,612.555,-6.5,-0.27,EMA CROSSOVER BULLISH (0.27%),LOSS
2026-05-18T20:25:22.114596,META,SHORT,4,612.5557,612.84,-1.14,-0.05,EMA CROSSOVER BULLISH (0.05%),LOSS
2026-05-18T20:44:53.705014,GOOGL,LONG,6,401.07,401.38,1.86,0.08,MACD BEARISH (0.08%),WIN
